"sourceConceptScheme","sourceConcept",,"targetConceptScheme","targetConcept","prob","comment","targetConceptScheme","Länge","searchfor","targetConceptScheme","targetConcept","prob","comment",,"Concept","ConceptScheme","prefLabel",,,,
"ISCO-88_COM","1223","Production and operations managers in construction",,,,,,"1223","1223","ISCO-88_ILO","1223",1,,"Production and operations department managers in construction","1210","ISCO-88_ILO","Directors and chief executives","1210","1210","ISCO-88_ILO","Directors and chief executives"
"ISCO-88_COM","1224","Production and operations managers in wholesale and retail trade",,,,,,"1224","1224","ISCO-88_ILO","1224",1,,"Production and operations department managers in wholesale and retail trade","122","ISCO-88_ILO","PRODUCTION AND OPERATIONS DEPARTMENT MANAGERS","122","122","ISCO-88_ILO","PRODUCTION AND OPERATIONS DEPARTMENT MANAGERS"
"ISCO-88_COM","1225","Production and operations managers in restaurants and hotels",,,,,,"1225","1225","ISCO-88_ILO","1225",1,,"Production and operations department managers in restaurants and hotels","1221","ISCO-88_ILO","Production and operations department managers in agriculture, hunting, forestry and fishing","1221","1221","ISCO-88_ILO","Production and operations department managers in agriculture, hunting, forestry and fishing"
"ISCO-88_COM","1226","Production and operations managers in transport, storage and communications",,,,,,"1226","1226","ISCO-88_ILO","1226",1,,"Production and operations department managers in transport, storage and communications","1222","ISCO-88_ILO","Production and operations department managers in manufacturing","1222","1222","ISCO-88_ILO","Production and operations department managers in manufacturing"
"ISCO-88_COM","1227","Production and operations managers in business services enterprises",,,,,,"1227","1227","ISCO-88_ILO","1227",1,,"Production and operations department managers in business services","1223","ISCO-88_ILO","Production and operations department managers in construction","1223","1223","ISCO-88_ILO","Production and operations department managers in construction"
"ISCO-88_COM","1228","Production and operations managers in personal care, cleaning and related services",,,,,,"1228","1228","ISCO-88_ILO","1228",1,,"Production and operations department managers in personal care, cleaning and related services","1224","ISCO-88_ILO","Production and operations department managers in wholesale and retail trade","1224","1224","ISCO-88_ILO","Production and operations department managers in wholesale and retail trade"
"ISCO-88_COM","1229","Production and operations managers not elsewhere classified",,,,,,"1229","1229","ISCO-88_ILO","1229",1,,"Production and operations department managers not elsewhere classified","1225","ISCO-88_ILO","Production and operations department managers in restaurants and hotels","1225","1225","ISCO-88_ILO","Production and operations department managers in restaurants and hotels"
"ISCO-88_COM","123","Other specialist managers",,,,,,"1230","123","ISCO-88_ILO","123",1,,"OTHER DEPARTMENT MANAGERS","1226","ISCO-88_ILO","Production and operations department managers in transport, storage and communications","1226","1226","ISCO-88_ILO","Production and operations department managers in transport, storage and communications"
"ISCO-88_COM","1231","Finance and administration managers",,,,,,"1231","1231","ISCO-88_ILO","1231",1,,"Finance and administration department managers","1227","ISCO-88_ILO","Production and operations department managers in business services","1227","1227","ISCO-88_ILO","Production and operations department managers in business services"
"ISCO-88_COM","1232","Personnel and industrial relations managers",,,,,,"1232","1232","ISCO-88_ILO","1232",1,,"Personnel and industrial relations department managers","1228","ISCO-88_ILO","Production and operations department managers in personal care, cleaning and related services","1228","1228","ISCO-88_ILO","Production and operations department managers in personal care, cleaning and related services"
"ISCO-88_COM","1233","Sales and marketing managers",,,,,,"1233","1233","ISCO-88_ILO","1233",1,,"Sales and marketing department managers","1229","ISCO-88_ILO","Production and operations department managers not elsewhere classified","1229","1229","ISCO-88_ILO","Production and operations department managers not elsewhere classified"
